"SERIAL_NO","EPC_NO","SNMP_TOKEN","TIMESTAMP"
"           1","23.0000120.000180.000307811","61.72.96.36","11/04/2023 10:00"
"           2","02.0000190.000209.000410060","132.240.104.181","11/04/2023 10:00"
"           3","67.0000900.000124.020136378","68.233.95.129","11/04/2023 10:00"
"           4","48.0000060.000066.000000076","83.40.233.213","11/04/2023 10:00"
"           5","79.0000246.000191.102010816","239.244.79.32","11/04/2023 10:00"
"           6","13.0000116.000110.012230021","190.41.34.52","11/04/2023 10:00"
"           7","47.0000180.000096.100700900","230.17.238.158","11/04/2023 10:00"
"           8","51.0000240.000154.800006002","56.157.31.102","11/04/2023 10:00"
"           9","75.0000232.000062.000700311","170.113.174.62","11/04/2023 10:00"
"          10","95.0000237.000002.1000029502","146.39.66.70","11/04/2023 10:00"
